rivid,area_sqm,lon_index,lat_index,npoints,lsm_grid_lon,lsm_grid_lat
17239306,0,691,439,1,-96.20833333333672,42.29166666666572
17239844,0,691,439,1,-96.20833333333672,42.29166666666572
17240296,0,691,439,1,-96.20833333333672,42.29166666666572
17239574,0,691,439,1,-96.20833333333672,42.29166666666572
17240104,0,691,439,1,-96.20833333333672,42.29166666666572
17240298,0,691,439,1,-96.20833333333672,42.29166666666572
17240266,0,691,439,1,-96.20833333333672,42.29166666666572
17239568,0,691,439,1,-96.20833333333672,42.29166666666572
17239292,0,691,439,1,-96.20833333333672,42.29166666666572
17240276,0,691,439,1,-96.20833333333672,42.29166666666572
17240282,0,691,439,1,-96.20833333333672,42.29166666666572
17239498,0,691,439,1,-96.20833333333672,42.29166666666572
17239514,0,691,439,1,-96.20833333333672,42.29166666666572
17239448,0,691,439,1,-96.20833333333672,42.29166666666572
17239454,0,691,439,1,-96.20833333333672,42.29166666666572
17240264,0,691,439,1,-96.20833333333672,42.29166666666572
17239440,0,691,439,1,-96.20833333333672,42.29166666666572
17239666,0,691,439,1,-96.20833333333672,42.29166666666572
17239718,0,691,439,1,-96.20833333333672,42.29166666666572
17239270,0,691,439,1,-96.20833333333672,42.29166666666572
17239726,0,691,439,1,-96.20833333333672,42.29166666666572
17239494,0,691,439,1,-96.20833333333672,42.29166666666572
17239504,0,691,439,1,-96.20833333333672,42.29166666666572
17240284,0,691,439,1,-96.20833333333672,42.29166666666572
17239608,0,691,439,1,-96.20833333333672,42.29166666666572
17239314,0,691,439,1,-96.20833333333672,42.29166666666572
17239442,0,691,439,1,-96.20833333333672,42.29166666666572
17240236,0,691,439,1,-96.20833333333672,42.29166666666572
17240300,0,691,439,1,-96.20833333333672,42.29166666666572
17240288,0,691,439,1,-96.20833333333672,42.29166666666572
17240308,0,691,439,1,-96.20833333333672,42.29166666666572
17238914,0,691,439,1,-96.20833333333672,42.29166666666572
17239432,0,691,439,1,-96.20833333333672,42.29166666666572
17239276,0,691,439,1,-96.20833333333672,42.29166666666572
17239422,0,691,439,1,-96.20833333333672,42.29166666666572
17240230,0,691,439,1,-96.20833333333672,42.29166666666572
17239330,0,691,439,1,-96.20833333333672,42.29166666666572
17239848,0,691,439,1,-96.20833333333672,42.29166666666572
17239850,0,691,439,1,-96.20833333333672,42.29166666666572
17239380,0,691,439,1,-96.20833333333672,42.29166666666572
17239462,0,691,439,1,-96.20833333333672,42.29166666666572
17239290,0,691,439,1,-96.20833333333672,42.29166666666572
17239592,0,691,439,1,-96.20833333333672,42.29166666666572
17239390,0,691,439,1,-96.20833333333672,42.29166666666572
17239298,0,691,439,1,-96.20833333333672,42.29166666666572
17240342,0,691,439,1,-96.20833333333672,42.29166666666572
17239370,0,691,439,1,-96.20833333333672,42.29166666666572
17239266,0,691,439,1,-96.20833333333672,42.29166666666572
17239546,0,691,439,1,-96.20833333333672,42.29166666666572
17239662,0,691,439,1,-96.20833333333672,42.29166666666572
17239438,0,691,439,1,-96.20833333333672,42.29166666666572
17240352,0,691,439,1,-96.20833333333672,42.29166666666572
17240268,0,691,439,1,-96.20833333333672,42.29166666666572
17238884,0,691,439,1,-96.20833333333672,42.29166666666572
17239524,0,691,439,1,-96.20833333333672,42.29166666666572
17239528,0,691,439,1,-96.20833333333672,42.29166666666572
17239620,0,691,439,1,-96.20833333333672,42.29166666666572
17239628,0,691,439,1,-96.20833333333672,42.29166666666572
17239560,0,691,439,1,-96.20833333333672,42.29166666666572
17239268,0,691,439,1,-96.20833333333672,42.29166666666572
